DATE,PALM_OIL,MAIZE,RICE_05,WHEAT_US_HRW
1/01/1960,233,45,104.45,59.89
1/02/1960,229,44,103.54,60.99
1/03/1960,225,45,103.79,61.73
1/04/1960,225,45,100.97,60.99
1/05/1960,225,48,102.15,57.69
1/06/1960,219,47,103.13,55.48
1/07/1960,221,47,102.05,54.75
1/08/1960,225,47,109.71,55.12
1/09/1960,224,46,116.1,56.59
1/10/1960,222,42,115.21,56.95
1/11/1960,222,38,114.43,57.69
1/12/1960,223,40,112.66,58.05
1/01/1961,223,43,113.47,58.79
1/02/1961,228,44,109.52,59.16
1/03/1961,231,44,117.65,58.05
1/04/1961,233,43,115.17,57.32
1/05/1961,234,45,119.42,55.85
1/06/1961,233,44,121.4,54.38
1/07/1961,229,45,123.41,56.59
1/08/1961,226,44,119.63,58.79
1/09/1961,226,43,118.99,59.89
1/10/1961,226,47.64,120.32,60.26
1/11/1961,226,48.42,128.32,61.73
1/12/1961,226,48.42,120.1,62.46
1/01/1962,235.89,48.03,117.79,60.63
1/02/1962,237,48.03,119.18,61.36
1/03/1962,223.22,48.82,123.75,61.73
1/04/1962,220.46,48.82,130.84,62.1
1/05/1962,219.08,49.6,149.14,63.57
1/06/1962,216.33,49.6,144.11,64.3
1/07/1962,212.75,48.82,144.22,65.4
1/08/1962,209.16,47.24,142.92,66.51
1/09/1962,205.3,47.64,140.64,65.77
1/10/1962,196.76,47.64,142.95,64.3
1/11/1962,208.06,48.42,142.5,68.71
1/12/1962,210.82,51.18,121.07,67.61
1/01/1963,217.71,52.75,121.77,67.24
1/02/1963,217.71,53.15,123.35,68.34
1/03/1963,217.71,52.36,123.28,69.45
1/04/1963,217.71,51.97,122.38,70.92
1/05/1963,217.71,52.36,123.17,67.61
1/06/1963,219.91,55.51,128.13,58.42
1/07/1963,221.84,56.69,130.63,57.69
1/08/1963,224.6,55.51,129.86,58.42
1/09/1963,224.6,55.9,130.29,60.63
1/10/1963,227.35,53.15,128.72,65.04
1/11/1963,230.11,52.36,124.84,65.04
1/12/1963,231.76,53.54,121.54,65.04
1/01/1964,232.86,55.12,124.01,64.04
1/02/1964,232.59,52.75,119.06,66.14
1/03/1964,232.86,54.33,115.11,66.87
1/04/1964,232.86,55.51,116.89,67.61
1/05/1964,232.86,55.9,117.02,69.45
1/06/1964,233.96,56.3,119.18,65.04
1/07/1964,235.34,55.9,122.61,68.71
1/08/1964,235.62,54.72,122.92,68.71
1/09/1964,237.55,55.12,123.44,69.08
1/10/1964,250.77,52.8,121.48,68.71
1/11/1964,254.91,52.8,120.97,67.98
1/12/1964,261.25,54.33,119.08,67.98
1/01/1965,266.21,55.9,114.61,66.14
1/02/1965,283.02,56.69,115.94,61.36
1/03/1965,292.11,57.08,115.56,60.99
