Date,Open,High,Low,Close,Volume,Report
2012-10-03,756.5,756.75,755.25,755.25,1374,0
2012-10-04,756.5,756.5,754.5,755.25,1400,0
2012-10-05,747.25,758.25,746.25,748,99722,0
2012-10-08,741.75,742,740.25,741.25,1121,0
2012-10-09,742,742,740.5,741,1355,0
2012-10-10,736.5,736.5,733.75,735,2601,0
2012-10-11,772,772.75,770,771,2038,1
2012-10-12,751.5,772.75,749.5,752.75,134812,0
2012-10-15,737.75,740.5,737.25,739.25,1866,0
2012-10-16,738,740,737.75,739.25,1072,0
2012-10-17,745.25,746,744.5,744.75,1170,0
2012-10-18,760.75,762,759.75,760.75,2713,0
2012-10-19,760.25,769,758.25,761.5,128777,0
2012-10-22,761,761.25,759.25,760.25,1220,0
2012-10-23,756,756.25,754.25,755.25,2024,0
2012-10-24,753.5,754.25,752.5,752.75,1045,0
2012-10-25,742,743,741.5,742.25,3056,0
2012-10-26,739,744.75,737,737.75,94719,0
2012-10-29,737.25,738.75,736.75,737.25,1117,0
2012-10-30,737.25,737.25,737.25,737.25,1668.5,0
2012-10-31,755.5,756.5,755,755.75,2220,0
2012-11-01,750,750.25,748,748.25,2154,0
2012-11-02,739,751.5,736,739.5,163965,0
2012-11-05,735.5,739,735.5,738.75,1473,0
2012-11-06,740.5,741,740,740.5,860,0
2012-11-07,744.5,744.5,741,742.25,3520,0
2012-11-08,741,741,740,740.5,2005,0
2012-11-09,738.75,755,733.5,738.75,243551,1
2012-11-12,717.5,721.75,716.75,720,3885,0
2012-11-13,723,727,722.75,726.5,3960,0
2012-11-14,725.75,726.25,723.75,725,3612,0
2012-11-15,721.25,722.5,720.75,721.75,3643,0
2012-11-16,725.75,729.75,711,727,150126,0
2012-11-19,738.75,739.5,738,738.5,1178,0
2012-11-20,743,743.25,742.25,743,2066,0
2012-11-21,743,747,738,741,89580,0
2012-11-22,741,741,741,741,69951,0
2012-11-23,746.25,749,743.25,745.5,50322,0
2012-11-26,746.5,749,746.5,748.75,4126,0
2012-11-27,758.75,759.5,757,757.5,2526,0
2012-11-28,759,759.5,758,758,2359,0
2012-11-29,752.5,752.5,750.5,752,3886,0
2012-11-30,752.5,752.5,742,748,40140,0
2012-12-03,749,749,747,748.5,463,0
2012-12-04,747,747,745.5,745.5,27,0
2012-12-05,752.75,753.5,752.5,753.5,41,0
2012-12-06,748,748,747,747,67,0
2012-12-07,748,749,731.5,732.75,4308,0
2012-12-10,727,727,727,727,56,0
2012-12-11,724.25,727.25,724.25,727.25,25,1
2012-12-12,721,723,720.75,723,15,0
2012-12-13,711.5,712.25,711.5,711.5,52,0
2012-12-14,711.5,720,710.25,718.75,784,0
2012-12-17,724,725.5,722.75,725,973,0
2012-12-18,721.25,722.25,720,720.25,2156,0
2012-12-19,704,705,702.5,704.25,2989,0
2012-12-20,697,699.75,696.75,699.75,1143,0
2012-12-21,704,704.75,696.75,702,60510,0
2012-12-24,703,707.25,700.5,704.25,18978,0
2012-12-25,704.25,704.25,704.25,704.25,9836.5,0
2012-12-26,693.25,694.75,692.25,694.5,695,0
2012-12-27,691.75,693.5,691.5,693,1167,0
2012-12-28,693.5,696.25,688.75,694,53315,0
2012-12-31,696,700,689.25,698.25,52526,0
2013-01-01,698.25,698.25,698.25,698.25,26791.5,0
2013-01-02,690.75,692,688.5,690.75,1057,0
2013-01-03,688,691,687.25,688.75,1330,0
2013-01-04,680.5,692.25,679.5,680.25,116040,0
2013-01-07,685.5,687,685.25,686.5,992,0
2013-01-08,688,690.5,687.75,688.75,2303,0
2013-01-09,694.75,697,694.5,696.5,3621,0
2013-01-10,698.5,698.75,696.75,697,2864,0
2013-01-11,709,723.75,686.25,708.75,291256,1
2013-01-14,723.5,724,722,724,2431,0
2013-01-15,730,730.25,729.25,730,2842,0
2013-01-16,731.25,733.5,731,731.75,4571,0
2013-01-17,724.5,727,723,726.75,1404,0
2013-01-18,725.5,729.5,723,727.5,124341,0
2013-01-21,727.5,727.5,727.5,727.5,63012.5,0
2013-01-22,728,728,726,727.25,1684,0
2013-01-23,720.25,721,718.25,718.5,1467,0
2013-01-24,725,726.75,724.25,725.5,5798,0
2013-01-25,720.25,727.5,717.5,720.75,98537,0
2013-01-28,728.5,729,727.5,728.25,2121,0
2013-01-29,729,729.5,727,727.25,2601,0
2013-01-30,739.25,740.75,739.25,740.75,2814,0
2013-01-31,740.25,741.5,740,740.75,2930,0
2013-02-01,735,746.25,735,736,142459,0
2013-02-04,734,734.75,733.25,733.75,1366,0
2013-02-05,729.25,729.5,726.75,727.25,824,0
2013-02-06,721.25,722,720.25,721.25,1705,0
2013-02-07,710.5,711.25,710,711,3641,0
2013-02-08,709,720.75,706.75,709,231476,1
2013-02-11,702.25,702.75,701,701.25,4685,0
2013-02-12,696.5,699,696.5,697.75,5165,0
2013-02-13,695.75,697,695.5,696.25,2046,0
2013-02-14,695,697,694.75,696.5,3074,0
2013-02-15,699,703.25,694,698.75,114347,0
2013-02-18,698.75,698.75,698.75,698.75,58178.5,0
2013-02-19,696.75,697.5,693.75,696.75,2010,0
2013-02-20,700,700.5,699.5,700.25,1777,0
2013-02-21,692,694.25,691.75,692.75,1621,0
2013-02-22,689.5,697.75,690,690.25,100018,0
2013-02-25,693.5,694.5,692.75,694.25,2340,0
2013-02-26,705,705.75,704.5,705.25,902,0
2013-02-27,709.5,712.25,709.5,712,1833,0
2013-02-28,719.5,720.75,718,719.25,522,0
2013-03-01,719.5,726.5,716,724.25,12729,0
2013-03-04,723,726,722.75,726,294,0
2013-03-05,732.25,732.25,731.25,732.25,91,0
2013-03-06,707.75,709.5,707.75,708.5,6,0
2013-03-07,712.75,712.75,712.75,712.75,108,0
2013-03-08,712.75,725.75,711.5,725.25,1660,1
2013-03-11,733.25,733.25,730,733.25,91,0
2013-03-12,741,741,741,741,2,0
2013-03-13,742,742,739.25,741,82,0
2013-03-14,716,716,714.25,715.75,1495,0
2013-03-15,717,719.75,712.25,717,94921,0
2013-03-18,719,719.75,718.5,718.75,929,0
2013-03-19,727,727.75,726,727.5,1938,0
2013-03-20,731.25,731.5,729.25,730.5,3776,0
2013-03-21,732.25,733,729.75,733,2285,0
2013-03-22,725.5,733,720,726.25,108591,0
2013-03-25,731.5,732,730.5,731,1265,0
2013-03-26,730,730,728,729,1925,0
2013-03-27,734,734.75,733,733.25,1448,0
2013-03-28,695.25,736.25,695.25,695.25,192231,0
2013-03-29,695.25,695.25,695.25,695.25,98302,0
2013-04-01,647,649,644.5,646.25,4373,0
2013-04-02,641.5,643,640.25,641,3669,0
2013-04-03,642.5,644,642.25,643.25,2720,0
2013-04-04,630,631,629.5,630,2259,0
2013-04-05,628.75,635.75,626.5,629,137290,0
2013-04-08,633.5,633.25,633.25,633.25,126228.6,0
2013-04-09,644.25,643.75,643.75,643.75,115167.2,0
2013-04-10,649,649.5,649.5,649.5,104105.8,1
2013-04-11,651,650.5,650.5,650.5,93044.4,0
2013-04-12,656.5,659.75,651.25,658.5,81983,0
2013-04-15,646.75,645.75,645.75,645.75,76471,0
2013-04-16,663.25,663.5,663.5,663.5,70959,0
2013-04-17,660.5,659,659,659,65447,0
2013-04-18,645,644.25,644.25,644.25,59935,0
2013-04-19,649.75,652.75,642.75,652,54423,0
2013-04-22,648,646,646,646,55326.6,0
2013-04-23,638,638.5,638.5,638.5,56230.2,0
2013-04-24,639.5,639,639,639,57133.8,0
2013-04-25,645.25,645.25,645.25,645.25,58037.4,0
2013-04-26,642.5,645,638.5,644,58941,0
2013-04-29,685,685,685,685,48023.6,0
2013-04-30,683.25,681.75,681.75,681.75,37106.2,0
2013-05-01,683.5,682.25,682.25,682.25,26188.8,0
2013-05-02,700,697.25,697.25,697.25,15271.4,0
2013-05-03,697,705,695,699.5,4354,0
2013-05-06,679.25,679.25,679.25,679.25,4182.6,0
2013-05-07,676,676,676,676,4011.2,0
2013-05-08,676,676,676,676,3839.8,0
2013-05-09,695,695,695,695,3668.4,0
2013-05-10,692,699.25,672,687.75,3497,1
2013-05-13,717.75,717.75,717.75,717.75,21448.6,0
2013-05-14,652.5,652.75,652.75,652.75,39400.2,0
2013-05-15,650,650.5,650.5,650.5,57351.8,0
2013-05-16,641.5,641.75,641.75,641.75,75303.4,0
2013-05-17,650.25,656,638.25,652.75,93255,0
2013-05-20,647.5,650.5,650.5,650.5,89091.2,0
2013-05-21,640,638.5,638.5,638.5,84927.4,0
2013-05-22,658,658.75,658.75,658.75,80763.6,0
2013-05-23,661,662,662,662,76599.8,0
2013-05-24,659,664.75,655.5,657.25,72436,0
2013-05-27,657.25,657.25,657.25,657.25,74466.6,0
2013-05-28,666,666,666,666,76497.2,0
2013-05-29,665,665.25,665.25,665.25,78527.8,0
2013-05-30,654,655,655,655,80558.4,0
2013-05-31,658,665.75,652.25,662,82589,0
2013-06-03,655.75,656.25,656.25,656.25,88120,0
2013-06-04,659.5,661,661,661,93651,0
2013-06-05,660,661.25,661.25,661.25,99182,0
2013-06-06,663,664,664,664,104713,0
2013-06-07,665,674,659.5,666.25,110244,0
2013-06-10,651,649.5,649.5,649.5,104976.6,0
2013-06-11,659,659.25,659.25,659.25,99709.2,0
2013-06-12,651.5,651.75,651.75,651.75,94441.8,1
2013-06-13,645.25,645.25,645.25,645.25,89174.4,0
2013-06-14,653.25,658,643.75,655,83907,0
2013-06-17,667.5,670.25,670.25,670.25,80991.2,0
2013-06-18,672,672,672,672,78075.4,0
2013-06-19,680.75,680,680,680,75159.6,0
2013-06-20,673,673,673,673,72243.8,0
2013-06-21,662,673.75,660.25,661.75,69328,0
2013-06-24,653.5,654,654,654,62315,0
2013-06-25,657,657.75,657.75,657.75,55302,0
2013-06-26,664,665,665,665,48289,0
2013-06-27,668,669.75,669.75,669.75,41276,0
2013-06-28,684,685.5,652.25,679.25,34263,0
2013-07-01,663.25,654.5,654.5,654.5,23805.6666666667,0
2013-07-02,674,673.5,673.5,673.5,13348.3333333333,0
2013-07-03,678.25,681.75,670,678.25,2891,0
2013-07-04,678.25,678.25,678.25,678.25,2531,0
2013-07-05,678,687,677.75,684.75,2171,0
2013-07-08,692,692,692,692,1884.6,0
2013-07-09,703.75,704.75,704.75,704.75,1598.2,0
2013-07-10,712,709.75,709.75,709.75,1311.8,0
2013-07-11,715,715,715,715,1025.4,1
2013-07-12,718,726.5,700.5,701.5,739,0
2013-07-15,537.5,536.25,536.25,536.25,14883.8,0
2013-07-16,543.75,545.5,545.5,545.5,29028.6,0
2013-07-17,538,539,539,539,43173.4,0
2013-07-18,539.75,539.75,539.75,539.75,57318.2,0
2013-07-19,541,545.5,536.75,544,71463,0
2013-07-22,539.5,540.75,540.75,540.75,69224,0
2013-07-23,522.5,523.5,523.5,523.5,66985,0
2013-07-24,508.5,508.25,508.25,508.25,64746,0
2013-07-25,495,495.25,495.25,495.25,62507,0
2013-07-26,490.5,499.75,490.75,492,60268,0
2013-07-29,490,489.5,489.5,489.5,63546,0
2013-07-30,495,496.25,496.25,496.25,66824,0
2013-07-31,499,499.5,499.5,499.5,70102,0
2013-08-01,487.5,487.25,487.25,487.25,73380,0
2013-08-02,476,489.25,475.25,476,76658,0
2013-08-05,469,469.75,469.75,469.75,75666.6,0
2013-08-06,471.5,473,473,473,74675.2,0
2013-08-07,468,468.25,468.25,468.25,73683.8,0
2013-08-08,472.5,473.25,473.25,473.25,72692.4,0
2013-08-09,464,476.75,464,465.75,71701,0
2013-08-12,472,473,473,473,67811.2,1
2013-08-13,455.25,455.5,455.5,455.5,63921.4,0
2013-08-14,462.25,465,465,465,60031.6,0
2013-08-15,480.25,482.5,482.5,482.5,56141.8,0
2013-08-16,471.75,483.75,468.5,473.75,52252,0
2013-08-19,493,493.25,493.25,493.25,52616.6,0
2013-08-20,483.5,483.5,483.5,483.5,52981.2,0
2013-08-21,497,498,498,498,53345.8,0
2013-08-22,487,487.75,487.75,487.75,53710.4,0
2013-08-23,492.5,500,487,495.5,54075,0
2013-08-26,515,516,516,516,48972.4,0
2013-08-27,500,499.5,499.5,499.5,43869.8,0
2013-08-28,504,503.25,503.25,503.25,38767.2,0
2013-08-29,497,496.75,496.75,496.75,33664.6,0
2013-08-30,497,499.5,487.75,495,28562,0
2013-09-02,495,495,495,495,23414.4,0
2013-09-03,498,498,498,498,18266.8,0
2013-09-04,494,494.5,494.5,494.5,13119.2,0
2013-09-05,490,489.75,489.75,489.75,7971.6,0
2013-09-06,489.25,492.5,484.25,491.5,2824,0
2013-09-09,478,477.75,477.75,477.75,2426,0
2013-09-10,474.25,474.25,474.25,474.25,2028,0
2013-09-11,480.25,480.25,480.25,480.25,1630,0
2013-09-12,487,480,480,480,1232,1
2013-09-13,479.75,480.75,450,450,834,0
2013-09-16,456.5,457.25,457.25,457.25,22715,0
2013-09-17,454,453.75,453.75,453.75,44596,0
2013-09-18,457,456.75,456.75,456.75,66477,0
