Commodity,Year,Attribute,Value
"White pan bread, per pound",2000,Retail price-Dollars,0.930166666666666
"White pan bread, per pound",2000,Farm value-Dollars,0.0316222199796852
"White pan bread, per pound",2000,Farm share-Percent,3.39962945490255
"White pan bread, per pound",2001,Retail price-Dollars,0.999083333333333
"White pan bread, per pound",2001,Farm value-Dollars,0.0344113075058767
"White pan bread, per pound",2001,Farm share-Percent,3.44428801460105
"White pan bread, per pound",2002,Retail price-Dollars,1.01558333333333
"White pan bread, per pound",2002,Farm value-Dollars,0.0427464058576225
"White pan bread, per pound",2002,Farm share-Percent,4.20904956339928
"White pan bread, per pound",2003,Retail price-Dollars,1.00075
"White pan bread, per pound",2003,Farm value-Dollars,0.0421725713347314
"White pan bread, per pound",2003,Farm share-Percent,4.21409656105236
"White pan bread, per pound",2004,Retail price-Dollars,0.969416666666667
"White pan bread, per pound",2004,Farm value-Dollars,0.0445532671818017
"White pan bread, per pound",2004,Farm share-Percent,4.5958841758929
"White pan bread, per pound",2005,Retail price-Dollars,1.04033333333333
"White pan bread, per pound",2005,Farm value-Dollars,0.042474869860465
"White pan bread, per pound",2005,Farm share-Percent,4.08281350789474
"White pan bread, per pound",2006,Retail price-Dollars,1.0805
"White pan bread, per pound",2006,Farm value-Dollars,0.0542713499079066
"White pan bread, per pound",2006,Farm share-Percent,5.0227996212778
"White pan bread, per pound",2007,Retail price-Dollars,1.20733333333333
"White pan bread, per pound",2007,Farm value-Dollars,0.0749401549432224
"White pan bread, per pound",2007,Farm share-Percent,6.2070807517854
"White pan bread, per pound",2008,Retail price-Dollars,1.36641666666667
"White pan bread, per pound",2008,Farm value-Dollars,0.0985927032246639
"White pan bread, per pound",2008,Farm share-Percent,7.21542012987722
"White pan bread, per pound",2009,Retail price-Dollars,1.38741666666667
"White pan bread, per pound",2009,Farm value-Dollars,0.0668700595262235
"White pan bread, per pound",2009,Farm share-Percent,4.81975322430586
"White pan bread, per pound",2010,Retail price-Dollars,1.37333333333333
"White pan bread, per pound",2010,Farm value-Dollars,0.0651468922844389
"White pan bread, per pound",2010,Farm share-Percent,4.74370574886691
"White pan bread, per pound",2011,Retail price-Dollars,1.44466666666667
"White pan bread, per pound",2011,Farm value-Dollars,0.0892215039071509
"White pan bread, per pound",2011,Farm share-Percent,6.17592320538654
"White pan bread, per pound",2012,Retail price-Dollars,1.41766666666667
"White pan bread, per pound",2012,Farm value-Dollars,0.0932177831368818
"White pan bread, per pound",2012,Farm share-Percent,6.57543732449201
"White pan bread, per pound",2013,Retail price-Dollars,1.40666666666667
"White pan bread, per pound",2013,Farm value-Dollars,0.0930845938116078
"White pan bread, per pound",2013,Farm share-Percent,6.61738818565932
"White pan bread, per pound",2014,Retail price-Dollars,1.40125
"White pan bread, per pound",2014,Farm value-Dollars,0.0806766003420569
"White pan bread, per pound",2014,Farm share-Percent,5.75747370862137
"White pan bread, per pound",2015,Retail price-Dollars,1.441
"White pan bread, per pound",2015,Farm value-Dollars,0.0625965595388829
"White pan bread, per pound",2015,Farm share-Percent,4.34396665779895
"White pan bread, per pound",2016,Retail price-Dollars,1.37125
"White pan bread, per pound",2016,Farm value-Dollars,0.0471563798897984
"White pan bread, per pound",2016,Farm share-Percent,3.43893381147117
"White pan bread, per pound",2017,Retail price-Dollars,1.33258333333333
"White pan bread, per pound",2017,Farm value-Dollars,0.049432636220874
"White pan bread, per pound",2017,Farm share-Percent,3.70953432962596
"White pan bread, per pound",2018,Retail price-Dollars,1.286
"White pan bread, per pound",2018,Farm value-Dollars,0.0613147115462163
"White pan bread, per pound",2018,Farm share-Percent,4.76786248415368
"White pan bread, per pound",2019,Retail price-Dollars,1.29766666666667
"White pan bread, per pound",2019,Farm value-Dollars,0.0562069336507223
"White pan bread, per pound",2019,Farm share-Percent,4.33138456080573
"White pan bread, per pound",2020,Retail price-Dollars,1.45166666666667
"White pan bread, per pound",2020,Farm value-Dollars,0.058178187516168
"White pan bread, per pound",2020,Farm share-Percent,4.00768226288184
"White pan bread, per pound",2021,Retail price-Dollars,1.52358333333333
"White pan bread, per pound",2021,Farm value-Dollars,0.0821358495022574
"White pan bread, per pound",2021,Farm share-Percent,5.39096534500404
"White pan bread, per pound",2022,Retail price-Dollars,1.70025
"White pan bread, per pound",2022,Farm value-Dollars,0.102880954046387
"White pan bread, per pound",2022,Farm share-Percent,6.05093098346637
