Date,Open,High,Low,Close,Volume
09/30/2022,669.5,696.25,669.25,677.5,232533
09/29/2022,670.5,676.75,666,669.5,129191
09/28/2022,668.25,673.25,661.5,670.5,127906
09/27/2022,666.25,678,666.25,667.5,144948
09/26/2022,673.25,679,665.5,666.25,127068
09/23/2022,687,688,669.5,676.75,143231
09/22/2022,683.5,691,681.5,688.25,85777
09/21/2022,692,698.5,679.25,685.5,115386
09/20/2022,677.75,693.5,677.5,692,110990
09/19/2022,675.75,680,668.25,678.25,83192
09/16/2022,676.25,680.5,667.5,677.25,108865
09/15/2022,681.75,690,676.25,677.5,98172
09/14/2022,712.25,712.25,712.25,712.25,145
09/13/2022,721.25,725,710,709,607
9/12/2022,690.25,721.5,689,712.25,1070
9/09/2022,678.75,700.5,678.75,698.5,1339
9/08/2022,676.75,679.5,666.5,674.5,1219
9/07/2022,678.5,690,675.25,676.75,1154
9/06/2022,670.75,682,667.5,680.75,1169
9/02/2022,657,671,656.75,669,1747
9/01/2022,671,673.75,655,658.25,8941
08/31/2022,680.75,683,664.25,673.75,7607
08/30/2022,681.25,682.75,671.25,679.75,44608
08/29/2022,675,684.25,668.5,683.75,72519
08/26/2022,657,671,654.75,668.75,60865
08/25/2022,665,674.25,656.75,657.5,61199
08/24/2022,659.75,675.5,655.75,665.75,60050
08/23/2022,637,666.75,635.75,660,73802
08/22/2022,622.75,635.25,618,633.5,51169
08/19/2022,619,627.75,616,626,41364
08/18/2022,615,624,608.25,619.75,42432
08/17/2022,611,618.5,608,615,39988
08/16/2022,624,628.25,608,611,50143
08/15/2022,630.5,635.25,616.5,626.75,42162
8/12/2022,629.25,640.5,616,639.75,87906
8/11/2022,621,630.75,618.75,629.25,76994
8/10/2022,615,632.5,613,621.25,102919
8/09/2022,614.5,626,613.5,615.5,108047
8/08/2022,603,616,601.75,608.5,116848
8/05/2022,602,614,597,610.25,100408
8/04/2022,591.5,607,585.75,602.25,71362
8/03/2022,587,597,583,591.5,87769
