Date,Cash,Futures
2012-10-01,321.24,294.778188095238
2012-11-01,321.64,291.373790909091
2012-12-01,308.65,282.606296428571
2013-01-01,303.13,281.272973913043
2013-02-01,302.74,278.31145125
2013-03-01,309.04,284.902879761905
2013-04-01,279.91,255.350240909091
2013-05-01,295.54,263.282595652174
2013-06-01,298.41,260.87054125
2013-07-01,279.51,233.511172826087
2013-08-01,238.74,190.255525
2013-09-01,207.41,184.092245238095
2013-10-01,201.73,172.919886956522
2013-11-01,199.13,166.417927380952
2013-12-01,197.39,168.020422727273
2014-01-01,198.06,168.054268478261
2014-02-01,209.32,176.05771875
2014-03-01,222.33,189.932128571429
2014-04-01,222.36,197.583713636364
2014-05-01,217.3,192.210603409091
2014-06-01,202.39,175.852666666667
2014-07-01,182.73,151.480354347826
2014-08-01,176.42,141.474220238095
2014-09-01,163.06,132.466628409091
2014-10-01,163.12,137.563915217391
2014-11-01,178.74,147.0174225
2014-12-01,178.73,156.072094565217
2015-01-01,174.71,153.225355681818
2015-02-01,173.7,151.12666625
2015-03-01,174.23,150.764730681818
2015-04-01,172.05,147.454071590909
2015-05-01,166.29,141.446098809524
2015-06-01,166.72,143.463385227273
2015-07-01,179.6,160.210223913044
2015-08-01,162.59,144.769114285714
2015-09-01,165.62,146.729305681818
2015-10-01,171.39,150.809469318182
2015-11-01,166.16,144.211372619048
2015-12-01,163.95,140.13580326087
2016-01-01,161.03,142.457236842105
2016-02-01,159.68,143.0213675
2016-03-01,159.14,143.065211363636
2016-04-01,164.41,146.723553571429
2016-05-01,168.96,153.477383333333
2016-06-01,179.87,161.519898863636
2016-07-01,161.76,134.2812275
2016-08-01,150.15,126.929735869565
2016-09-01,148.43,129.775705952381
2016-10-01,152.26,137.593463095238
2016-11-01,151.8,135.817126190476
2016-12-01,152.45,137.860616666667
2017-01-01,159.99,142.44558125
2017-02-01,162.86,145.207956578947
2017-03-01,158.96,142.827513043478
2017-04-01,156.44,142.918280263158
2017-05-01,158.59,144.501321590909
2017-06-01,157.93,146.568246590909
2017-07-01,157.51,148.877655
2017-08-01,148.5,139.023172826087
2017-09-01,147.29,136.987915
2017-10-01,148.62,137.553411363636
2017-11-01,148.7,135.109403571429
2017-12-01,148.98,135.649335
2018-01-01,155.84,138.868301190476
2018-02-01,163.36,144.063118421053
2018-03-01,172,149.451332142857
2018-04-01,175.6,151.766663095238
2018-05-01,179.09,156.782077272727
2018-06-01,165.07,143.648944047619
2018-07-01,156.46,137.462229761905
2018-08-01,162.37,141.077259782609
2018-09-01,154.8,138.717086842105
2018-10-01,160.26,144.941510869565
2018-11-01,160.69,144.014522619048
2018-12-01,167.44,148.160706578947
2019-01-01,166.74,149.090440476191
2019-02-01,169.52,147.160915789474
2019-03-01,166.22,144.342605952381
2019-04-01,161.49,140.827427380952
2019-05-01,171.08,149.512048863636
2019-06-01,195.08,171.3480825
2019-07-01,189.42,168.212798863636
2019-08-01,163.59,148.107255681818
2019-09-01,157.26,142.58337625
2019-10-01,167.15,153.461692391304
2019-11-01,166.33,147.0961625
2019-12-01,166.96,148.785791666667
2020-01-01,171.79,151.865088095238
2020-02-01,168.71,148.601028947368
2020-03-01,162.42,141.705156818182
2020-04-01,146.91,126.340204761905
2020-05-01,143.91,125.47711125
2020-06-01,147.99,128.981488636364
2020-07-01,152.55,130.735243181818
2020-08-01,149.34,128.013429761905
2020-09-01,166.08,142.669380952381
2020-10-01,186.75,157.028139772727
2020-11-01,190.38,163.61679875
2020-12-01,198.77,171.442928409091
2021-01-01,234.47,202.910907894737
2021-02-01,245.24,216.524639473684
2021-03-01,245.17,217.63907173913
2021-04-01,268.23,242.547321428571
2021-05-01,305.31,274.6155925
2021-06-01,292.56,264.722985227273
2021-07-01,278.43,238.21193452381
2021-08-01,256.61,217.411877272727
2021-09-01,235.62,204.170945238095
2021-10-01,239.65,211.266919047619
2021-11-01,248.72,224.760517857143
2021-12-01,264.54,233.025661363636
2022-01-01,276.62,239.9109375
2022-02-01,292.62,256.050047368421
2022-03-01,335.53,294.260794565217
2022-04-01,348.17,309.47280625
2022-05-01,344.84,310.633986904762
2022-06-01,335.71,298.583954761905
2022-07-01,322.97,261.082155
2022-08-01,289.84,248.848355434783
