Entity,Code,Year,"Agriculture (per capita) (CAIT, 2020)","Fugitive Emissions (per capita) (CAIT, 2020)","Land-Use Change and Forestry (per capita) (CAIT, 2020)","Waste (per capita) (CAIT, 2020)"
Afghanistan,AFG,1990,0.21914276506606511,0,0,0.011279407025459235
Afghanistan,AFG,1991,0.21054214602601698,0,0,0.010527107301300851
Afghanistan,AFG,1992,0.18983846472456165,0,0,0.010354825348612453
Afghanistan,AFG,1993,0.17576025795030664,0,0,0.010115698299298224
Afghanistan,AFG,1994,0.15226048254860625,0,0,0.009955493089716562
Afghanistan,AFG,1995,0.15018497045994147,0,0,0.009386560653746342
Afghanistan,AFG,1996,0.15594335119079192,0,0,0.009547552113721953
Afghanistan,AFG,1997,0.16738130908715196,0,0,0.009815570594616935
Afghanistan,AFG,1998,0.17884284121998176,0,0,0.009626101935353126
Afghanistan,AFG,1999,0.1883892717267364,0,0,0.009915224827722969
Afghanistan,AFG,2000,0.1573628488931665,0,0,0.00962463907603465
Afghanistan,AFG,2001,0.13236451150090248,0,0,0.009719072522793538
Afghanistan,AFG,2002,0.14866598823060928,0,0,0.009734082562718464
Afghanistan,AFG,2003,0.1499092099151218,0,0,0.009712427684641697
Afghanistan,AFG,2004,0.13911918146156022,0,0,0.0097059894042949
Afghanistan,AFG,2005,0.13954938800966712,0,0,0.009745068995088485
Afghanistan,AFG,2006,0.12862709491922975,0,0,0.00983618961147051
Afghanistan,AFG,2007,0.12287369469761263,0,0,0.009962732002509134
Afghanistan,AFG,2008,0.13058220907582427,0,0,0.010100281364980881
Afghanistan,AFG,2009,0.13629160063391443,0,0,0.010213065680577565
Afghanistan,AFG,2010,0.14767354210923045,0,0,0.010278900842869868
Afghanistan,AFG,2011,0.14510077364943386,0,0,0.010293189892751603
Afghanistan,AFG,2012,0.14120214370527262,0,0,0.010269246814928917
Afghanistan,AFG,2013,0.13758909203594671,0,0,0.010226216299969011
Afghanistan,AFG,2014,0.14203949537023167,0,0,0.010188487009679063
Afghanistan,AFG,2015,0.12407741035625035,0,0,0.010170279537397572
Afghanistan,AFG,2016,0.13254952943503945,0,0,0.01017437752593053
Albania,ALB,1990,0.4108338405356056,0,0.0030432136335970784,0.012172854534388313
Albania,ALB,1991,0.3079268292682927,0,0.0030487804878048777,0.012195121951219511
Albania,ALB,1992,0.29266789895255696,0,0.0030807147258163892,0.012322858903265557
Albania,ALB,1993,0.3223787167449139,0,0.003129890453834116,0.012519561815336464
Albania,ALB,1994,0.4003813155386082,0,0.0031776294884016524,0.01271051795360661
Albania,ALB,1995,0.40475425634436235,0,0.0032123353678123997,0.016061676839061997
Albania,ALB,1996,0.3581800580832527,0,0,0.016134236850596968
Albania,ALB,1997,0.33548387096774196,0,0.0032258064516129032,0.01612903225806452
Albania,ALB,1998,0.3471552555448409,0,0.0032144005143040825,0.016072002571520413
Albania,ALB,1999,0.329811079090618,0,0,0.01601024655779699
Albania,ALB,2000,0.3451581975071908,0,0.009587727708533077,0.015979546180888465
Albania,ALB,2001,0.3322683706070288,0,0,0.01597444089456869
Albania,ALB,2002,0.3806781829814459,0,0,0.01599488163787588
Albania,ALB,2003,0.3848620910840282,0,0,0.01603592046183451
Albania,ALB,2004,0.37359098228663445,0,0,0.016103059581320453
Albania,ALB,2005,0.3757693553611921,0,0,0.016196954972465177
Albania,ALB,2006,0.3591250408096638,0,0,0.01632386549134835
Albania,ALB,2007,0.35596572181938035,0,0.026367831245880026,0.016479894528675015
Albania,ALB,2008,0.342990342990343,0,0,0.016650016650016652
Albania,ALB,2009,0.34308779011099905,0,0,0.016818028927009756
Albania,ALB,2010,0.34260515603799185,0,0,0.016960651289009497
Albania,ALB,2011,0.35848412427449644,0,0.003414134516899966,0.01707067258449983
Albania,ALB,2012,0.36032944406314343,0,0.013726835964310227,0.017158544955387784
Albania,ALB,2013,0.3546831955922865,0,0,0.017217630853994494
Albania,ALB,2014,0.36256906077348067,0,0,0.017265193370165747
Albania,ALB,2015,0.37357315807679004,0,0,0.017295053614666208
Albania,ALB,2016,0.38808038808038814,0,0,0.017325017325017324
Algeria,DZA,1990,0.136651267518149,0,0.0015528553127062386,0.01048177336076711
Algeria,DZA,1991,0.1306818181818182,0,0.0015151515151515152,0.010227272727272727
Algeria,DZA,1992,0.132455231611662,0,0.0014799467219180108,0.010359627053426078
Algeria,DZA,1993,0.13207410623823995,0,0.0014473874656245477,0.01049355912577797
Algeria,DZA,1994,0.12157085135039343,0,0.0014177358758063374,0.01063301906854753
Algeria,DZA,1995,0.11579386605466305,0,0.0013909173099659227,0.011127338479727382
Algeria,DZA,1996,0.11651746053440853,0,0.0013667737306088978,0.011959270142827853
Algeria,DZA,1997,0.10960562149077092,0,0.0010086406885653767,0.012439901825639647
Algeria,DZA,1998,0.12585698671877588,0,0.0009936077898850726,0.013248103865134303
Algeria,DZA,1999,0.12115076902981418,0,0.0009796558142572576,0.013715181399601605
Algeria,DZA,2000,0.11661619740996071,0.09084466207074286,0.005154307067843567,0.01417434443656981
Algeria,DZA,2001,0.12018313620755436,0.08966043494849293,0,0.014625461019966934
Algeria,DZA,2002,0.11207031863129806,0.08852613404489092,0.0003139224611520954,0.014754355674148486
Algeria,DZA,2003,0.11777832878750309,0.08740391767914703,0.0003099429704934292,0.014877262583684601
Algeria,DZA,2004,0.13673069864186957,0.08625963538480362,0.00030588523186100575,0.014988376361189281
Algeria,DZA,2005,0.11553544494720966,0.08506787330316742,0.0012066365007541479,0.015082956259426848
Algeria,DZA,2006,0.12425314348562763,0.08382628340417941,0.0011890252965131834,0.015457328854671383
Algeria,DZA,2007,0.1226329499224398,0.08253578013873035,0.0023414405713114996,0.015512043784938683
Algeria,DZA,2008,0.1117157582563128,0.08119547378422735,0.0017275632720048372,0.015548069448043537
Algeria,DZA,2009,0.12622403350880174,0.07980981490915265,0.0005660270560932813,0.015565744042565235
Algeria,DZA,2010,0.13091697473385774,0.07838341162409317,0.00027795536036912476,0.015565500180670985
Algeria,DZA,2011,0.13065655601320206,0.07692097869670766,0.0019093859960175664,0.015547857396143039
Algeria,DZA,2012,0.13989942221271134,0.07543334046650974,0.0045473999572009415,0.01578215279263856
Algeria,DZA,2013,0.13765076035658103,0.07393812270582066,0.00026219192448872575,0.01599370739381227
Algeria,DZA,2014,0.14078717500770735,0.07244887473024356,0.0007707327098962079,0.015928476004521634
Algeria,DZA,2015,0.13894482480869916,0.07098268223922674,0,0.01610954490535642
Algeria,DZA,2016,0.13439865847944565,0.06954205814899755,0.0004932060861631033,0.016029197800300855
Andorra,AND,1990,0,0,0,0
Andorra,AND,1991,0,0,0,0
Andorra,AND,1992,0,0,0,0
Andorra,AND,1993,0,0,0,0
Andorra,AND,1994,0,0,0,0
Andorra,AND,1995,0,0,0,0
Andorra,AND,1996,0,0,0,0
Andorra,AND,1997,0,0,0,0
Andorra,AND,1998,0,0,0,0
Andorra,AND,1999,0,0,0,0
Andorra,AND,2000,0,0,0,0
Andorra,AND,2001,0,0,0,0
Andorra,AND,2002,0,0,0,0
Andorra,AND,2003,0,0,0,0
Andorra,AND,2004,0,0,0,0
Andorra,AND,2005,0,0,0,0
Andorra,AND,2006,0,0,0,0
Andorra,AND,2007,0,0,0,0
Andorra,AND,2008,0,0,0,0
Andorra,AND,2009,0,0,0,0
Andorra,AND,2010,0,0,0,0
Andorra,AND,2011,0,0,0,0
Andorra,AND,2012,0,0,0,0
Andorra,AND,2013,0,0,0,0
Andorra,AND,2014,0,0,0,0
Andorra,AND,2015,0,0,0,0
Andorra,AND,2016,0,0,0,0
Angola,AGO,1990,1.339466576637407,0,0.20509790681971643,0.008440243079000676
Angola,AGO,1991,1.2980651481753613,0,0.19838354151359297,0.008163931749530576
Angola,AGO,1992,1.2593821600695265,0,0.19198862289642096,0.008690843011772142
Angola,AGO,1993,1.2152963671128107,0,0.1858508604206501,0.008413001912045888
Angola,AGO,1994,1.1722452606635072,0,0.17994668246445497,0.008145734597156399
Angola,AGO,1995,1.134456794550018,0,0.17425600573682326,0.008605234851201148
Angola,AGO,1996,0.9381292965766266,0,0.4138601486007916,0.008332754669814597
Angola,AGO,1997,0.8922807961269499,0,0.363098440021517,0.008741258741258742
Angola,AGO,1998,0.9557291666666667,0,0.44921875,0.008463541666666666
Angola,AGO,1999,0.8539736560156299,0,0.40209239301695343,0.008823344047393962
Angola,AGO,2000,0.851479109484599,0,0.3141201585849344,0.009149130832570905
Angola,AGO,2001,0.8951965065502183,0,0.18116369644753924,0.008851646406231558
Angola,AGO,2002,0.9395513442548091,0,0.13528169416062563,0.009132941377932531
Angola,AGO,2003,1.0286408034876662,0,0.13244302190828322,0.009381380718503394
Angola,AGO,2004,0.9915769271777376,0,0.1524682802004478,0.00959590574688133
Angola,AGO,2005,0.9596583307605226,0,0.1445919522486364,0.009776680045281465
Angola,AGO,2006,0.8352357320099255,0,0.09727047146401985,0.009925558312655089
Angola,AGO,2007,0.8873475245156661,0,0.12819899545563262,0.010523798134417603
Angola,AGO,2008,0.8001474926253688,0,0.08987831858407079,0.010601032448377581
Angola,AGO,2009,0.7732966154392823,0,0.09682863995735988,0.011104201829972462
Angola,AGO,2010,0.783524576126049,0,0.08734372324028088,0.011132043158075013
Angola,AGO,2011,0.7790760084224434,0,0.12344659592915239,0.01114735147186326
Angola,AGO,2012,0.713716743667357,0,0.09080771068981998,0.011550103552652539
Angola,AGO,2013,0.7153290282902829,0,0.09801660516605165,0.011531365313653135
Angola,AGO,2014,0.6632766683987826,0,0.077574047954866,0.011506198500482519
Angola,AGO,2015,0.6727872615119782,0,0.0961124659302826,0.011476115334959116
Angola,AGO,2016,0.6445461479786422,0,0.06622286942653076,0.011441647597254004
Antigua and Barbuda,ATG,1990,0.15873015873015875,0,0,0
Antigua and Barbuda,ATG,1991,0.15873015873015875,0,0,0
Antigua and Barbuda,ATG,1992,0.15625,0,0,0
Antigua and Barbuda,ATG,1993,0.15151515151515152,0,0,0
Antigua and Barbuda,ATG,1994,0.14925373134328357,0,0,0
Antigua and Barbuda,ATG,1995,0.14492753623188406,0,0,0
Antigua and Barbuda,ATG,1996,0.14285714285714285,0,0,0
Antigua and Barbuda,ATG,1997,0.13888888888888887,0,0,0
Antigua and Barbuda,ATG,1998,0.136986301369863,0,0,0
Antigua and Barbuda,ATG,1999,0.13333333333333333,0,0,0
Antigua and Barbuda,ATG,2000,0.13157894736842107,0,0,0
Antigua and Barbuda,ATG,2001,0.12987012987012986,0,0,0
Antigua and Barbuda,ATG,2002,0.12820512820512822,0,0,0
Antigua and Barbuda,ATG,2003,0.12658227848101267,0,0,0
Antigua and Barbuda,ATG,2004,0.125,0,0,0
Antigua and Barbuda,ATG,2005,0.1234567901234568,0,0,0
Antigua and Barbuda,ATG,2006,0.12048192771084337,0,0,0
Antigua and Barbuda,ATG,2007,0.11904761904761904,0,0,0
Antigua and Barbuda,ATG,2008,0.11764705882352942,0,0,0
Antigua and Barbuda,ATG,2009,0.11494252873563218,0,0,0
Antigua and Barbuda,ATG,2010,0.11363636363636365,0,0,0
Antigua and Barbuda,ATG,2011,0.11235955056179775,0,0,0
Antigua and Barbuda,ATG,2012,0.1111111111111111,0,0,0
Antigua and Barbuda,ATG,2013,0.10869565217391304,0,0,0
Antigua and Barbuda,ATG,2014,0.10752688172043011,0,0,0
Antigua and Barbuda,ATG,2015,0.10638297872340426,0,0,0
Antigua and Barbuda,ATG,2016,0.10526315789473685,0,0,0
Argentina,ARG,1990,1.0500015328489531,0,0.0686716330972746,0.022686164505349642
Argentina,ARG,1991,1.0296562773965356,0,0.06771667825508632,0.022975301550832855
Argentina,ARG,1992,1.035819738137135,0,0.06680783799099288,0.023263443586149304
Argentina,ARG,1993,1.0064763026199588,0.00029437739181630853,0.06594053576685312,0.02384456873712099
Argentina,ARG,1994,1.0214225503589802,0.0002906723250879284,0.06511060081969597,0.024125802982298054
Argentina,ARG,1995,1.0086711841047433,0.0002871253014815666,0.06431606753187091,0.02469277592741472
Argentina,ARG,1996,0.9969925665323726,0.00028372013845542757,0.02922317426090904,0.025251092322533055
Argentina,ARG,1997,0.9939142384384553,0.0002804498415458395,0.032812631460863224,0.02608183526376308
Argentina,ARG,1998,0.9713556831101128,0.00027729251587499653,0.031611346809749606,0.025788203976374678
Argentina,ARG,1999,0.967450023308745,0.0002742205281487372,0.040858858694161844,0.025502509117832563
Argentina,ARG,2000,1.0135336714491063,0.00027121586070353394,0.021697268856282717,0.02522307504542866
Argentina,ARG,2001,1.0510784418929071,0.0002682691275887971,0.05043459598669384,0.02468075973816933
Argentina,ARG,2002,1.0177272968526088,0.0002653786953983334,0.06422164428639669,0.02414946128124834
Argentina,ARG,2003,1.1061226633060282,0.00026254988447805085,0.08532871245536652,0.023629489603024575
Argentina,ARG,2004,1.0794450794970383,0.00025979424295957606,0.10131975475423464,0.023121687623402266
Argentina,ARG,2005,1.0611163962666805,0.00025711567634278666,0.05707968014809863,0.022626179518165222
Argentina,ARG,2006,1.0832272842962587,0.00025451768897938407,0.06362942224484602,0.022906592008144565
Argentina,ARG,2007,1.1289184558008265,0.00025199072674125594,0.05594194133655882,0.023183146860195545
Argentina,ARG,2008,1.0850798403193613,0.000249500998003992,0.07784431137724551,0.023453093812375248
Argentina,ARG,2009,0.9394066645258504,0.00024701726650692887,0.06570659289084307,0.023713657584665166
Argentina,ARG,2010,0.9511932707355242,0.0002445226917057903,0.04670383411580595,0.02396322378716745
Argentina,ARG,2011,0.9668441432720233,0.0002420135527589545,0.04549854791868344,0.023959341723136494
Argentina,ARG,2012,0.9421626152556581,0.00023949227637408698,0.057717638606154954,0.023949227637408692
Argentina,ARG,2013,0.9678642525357855,0.0002369892880841786,0.04597592188833065,0.023935918096502036
Argentina,ARG,2014,0.9758900511281017,0.00023453257657488625,0.023218725080913737,0.023922322810638396
Argentina,ARG,2015,0.9497388276262333,0.00023215322112594313,0.024840394660475915,0.023911781775972144
Argentina,ARG,2016,1.0152155925347064,0.0002298427875333272,0.03401673255493243,0.023903649903466027
Armenia,ARM,1990,0.21481062747314866,0,0,0.014132278123233467
Armenia,ARM,1991,0.20256776034236804,0,0,0.014265335235378032
Armenia,ARM,1992,0.1887888469358118,0,0,0.014522218995062446
Armenia,ARM,1993,0.16354445435622955,0,0,0.014867677668748143
Armenia,ARM,1994,0.14920828258221683,0,0,0.015225334957369063
Armenia,ARM,1995,0.14920733602735467,0,0,0.015542430836182779
Armenia,ARM,1996,0.15467171717171715,0,0,0.015782828282828284
Armenia,ARM,1997,0.15320778806255986,0,0,0.015959144589849986
Armenia,ARM,1998,0.15117401093599228,0,0,0.01608234158893535
Armenia,ARM,1999,0.14567821301392037,0,0,0.016186468112657816
Armenia,ARM,2000,0.1498371335504886,0,0,0.01628664495114007
Armenia,ARM,2001,0.1540478531628974,0,0,0.01638806948541462
Armenia,ARM,2002,0.1812788398154252,0,0,0.019775873434410018
Armenia,ARM,2003,0.17892644135188868,0,0,0.019880715705765408
